experiment_id,comparison_group_id,git_commit,git_dirty,category,git_status_paths,git_patch_preserved
20260911T222616713158Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s123__01a09294-2209-772a-a046-f6b62c22e592,formal-axis1-1.7b-bf16-lora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T223000003930Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a09297-8a44-7410-9bb9-ff754164f943,formal-axis1-1.7b-bf16-lora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T223414077670Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0929b-6abd-793f-8431-57626dcf2668,formal-axis1-1.7b-4bit-qlora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T223842463348Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0929f-831f-71b8-9360-1c1b939dd5e5,formal-axis1-1.7b-4bit-qlora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T224410028357Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092a4-82ac-7d64-a513-911a27ae446d,formal-axis1-1.7b-4bit-qlora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T225009694894Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s42__01a092a9-ff9f-7e8e-b33e-a7ee909f9593,formal-axis3-r4,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T225407165563Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s123__01a092ad-9f3d-756e-a8d7-f37dea27440e,formal-axis3-r4,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T225842679493Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s2026__01a092b1-d377-774b-b1bd-26e115f01fed,formal-axis3-r4,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T230323003522Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a092b6-1a7b-76ea-bf96-a460fbae8087,formal-axis1-4b-4bit-qlora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T231215022069Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a092be-38ae-7387-9328-a314da7130fc,formal-axis1b-4b-4bit-qlora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T233730664754Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a092d5-5928-7ce3-a6f9-9f519cf2685e,formal-axis1-4b-4bit-qlora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T234624093498Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a092dd-7cdd-73dd-b708-86e57dbae943,formal-axis1b-4b-4bit-qlora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260912T001156818610Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092f4-e012-7a36-bb7c-891bb24e407b,formal-axis1-4b-4bit-qlora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260912T002049088671Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092fc-ff40-738d-b11c-029a4d91bfc3,formal-axis1b-4b-4bit-qlora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260912T004751556601Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r32__s42__01a09315-c104-7e07-a512-7ef4150ab322,formal-axis3-r32,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260912T005229332707Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r32__s123__01a09319-fe14-7502-8e56-166f4d12f256,formal-axis3-r32,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260912T005628891394Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r32__s2026__01a0931d-a5db-72e7-862e-d873772e8ad4,formal-axis3-r32,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260912T010303078430Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx1024__b1-ga1__r8__s42__01a09323-a9a6-748f-a030-bab82bc1ccb3,formal-axis2-ctx1024,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260912T012504760374Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx1024__b1-ga1__r8__s123__01a09337-d478-73f2-b8ba-f06c31d275c2,formal-axis2-ctx1024,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260912T014748248831Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx1024__b1-ga1__r8__s2026__01a0934c-a299-7785-a8ed-9037c924a6a4,formal-axis2-ctx1024,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260912T020930772906Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx2048__b1-ga1__r8__s42__01a09360-8295-745d-a8ac-c648df627edd,formal-axis2-ctx2048,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260912T030114247664Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx2048__b1-ga1__r8__s2026__01a0938f-dd87-7c0f-a464-eee1ecd9e307,formal-axis2-ctx2048,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260912T083403639485Z__qwen-qwen3-4b__lora-qnone__ctx512__b1-ga1__r8__s42__01a094c0-92f7-7ba5-b5a6-dc98f8ffed72,formal-axis1-4b-bf16-lora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260915T142046551250Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0a571-1457-7b61-8265-5755de7d3b5a,formal-axis4-b1,b37c02bf3a57f7ae27aeb258d271fd2d03801faa,False,clean,),False
20260915T142630515233Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0a576-53f3-7adf-b7c3-0d01216c0a0e,formal-axis4-b1,b37c02bf3a57f7ae27aeb258d271fd2d03801faa,True,dirty_source_code,cripts/run_analysis.py | src/analysis/coverage.py | tests/test_coverage.py,False
20260915T143216877870Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a0a57b-9cee-73bd-83c1-43119599f617,formal-axis4-b1,b37c02bf3a57f7ae27aeb258d271fd2d03801faa,False,clean,),False
20260915T143807188631Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b2-ga1__r8__s42__01a0a580-f555-70f4-a96a-3efd755eb8be,formal-axis4-b2,b37c02bf3a57f7ae27aeb258d271fd2d03801faa,False,clean,),False
20260915T144725655817Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b2-ga1__r8__s123__01a0a589-7ad8-7dcc-9245-9b241b4e4916,formal-axis4-b2,b37c02bf3a57f7ae27aeb258d271fd2d03801faa,False,clean,),False
20260915T145711514556Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b2-ga1__r8__s2026__01a0a592-6b5b-780f-b112-cbe8e1b58187,formal-axis4-b2,b37c02bf3a57f7ae27aeb258d271fd2d03801faa,False,clean,),False
20260915T150556205439Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b4-ga1__r8__s42__01a0a59a-6ced-7d6a-8e7b-c78f25b37862,formal-axis4-b4,b37c02bf3a57f7ae27aeb258d271fd2d03801faa,False,clean,),False
20260915T153646433720Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b4-ga1__r8__s123__01a0a5b6-a861-7c80-b2c3-dfc788eb6072,formal-axis4-b4,b37c02bf3a57f7ae27aeb258d271fd2d03801faa,False,clean,),False
20260915T161011059799Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b4-ga1__r8__s2026__01a0a5d5-3ef4-738d-b32c-f0a2233b4260,formal-axis4-b4,b37c02bf3a57f7ae27aeb258d271fd2d03801faa,False,clean,),False
20260915T165524052283Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx2048__b1-ga1__r8__s123__01a0a5fe-a494-71f6-b0f1-6c0b4820439c,formal-axis2-ctx2048,2ead0905f1e22202b52300b1a2e5bf33e13d01f2,False,clean,),False
20260915T171705795963Z__mlx-community-qwen3-8b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0a612-8184-7eb3-a99e-ca4b06de7bb7,formal-axis1-8b-4bit-qlora,1612513344198810c19225e83aed15fd5a0f8f88,True,dirty_nonexecution_artifact_only,paper/tables/,False
20260915T174429715197Z__mlx-community-qwen3-8b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0a62b-9713-7077-8359-a639efa8b74b,formal-axis1-8b-4bit-qlora,1612513344198810c19225e83aed15fd5a0f8f88,True,dirty_nonexecution_artifact_only,paper/tables/,False
20260915T181219460490Z__mlx-community-qwen3-8b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a0a645-1184-7a67-a456-c0e6c0d64e3a,formal-axis1-8b-4bit-qlora,1612513344198810c19225e83aed15fd5a0f8f88,True,dirty_nonexecution_artifact_only,paper/tables/,False
